Version,game_id,score,max_tile,steps,duration_sec
v0,102,17664,512,963,37.34988379478455
v0,103,14132,512,790,36.16496992111206
v0,104,8516,256,551,24.595680475234985
v0,105,4328,128,314,13.94982933998108
v0,106,17160,1024,876,40.87052392959595
v0,107,8756,256,534,24.37680292129517
v0,108,26104,1024,1247,58.92992520332336
v0,109,17248,512,946,43.13214683532715
v0,110,31780,1024,1476,69.52536177635193
v0,111,35064,1024,1644,77.30918383598328
v0,112,46952,2048,1971,92.87732553482056
v0,113,6488,128,459,20.861353397369385
v0,114,12952,512,732,33.52282977104187
v0,115,6916,256,445,20.44495797157288
v0,116,9264,256,575,26.374215364456177
v0,117,29120,1024,1441,68.00533604621887
v0,118,5420,256,363,16.512511014938354
v0,119,8252,256,512,23.68034768104553
v0,120,15776,512,856,39.11828589439392
v0,121,19764,1024,1027,47.729554653167725
v0,122,27144,1024,1308,60.57734775543213
v0,123,24572,1024,1194,56.084402084350586
v0,124,11712,512,646,29.709023237228397
v0,125,9904,256,615,28.583134174346924
v0,126,4204,128,313,13.96174931526184
v0,127,6884,256,439,20.1063711643219
v0,128,30280,1024,1496,69.49131155014038
v0,129,14516,512,769,36.54052472114563
v0,130,28636,1024,1417,66.81535053253174
v0,131,28704,1024,1428,66.36579585075378
v0,12,25624,1024,1236,28.111756086349487
v0,13,12736,512,700,17.613548517227173
v0,14,28320,1024,1321,35.47401785850525
v0,15,16016,512,860,22.295567989349365
v0,16,26304,1024,1265,32.14836025238037
v0,17,16664,512,887,24.242673635482788
v0,18,17640,512,945,24.63492774963379
v0,19,4128,128,312,9.016995906829834
v0,20,9484,256,588,17.823007345199585
v0,21,9852,256,612,19.265031576156616
v0,22,4716,128,342,10.053617000579834
v0,23,14232,512,802,23.68304204940796
v0,24,14728,512,771,23.2424373626709
v0,25,32328,1024,1523,47.35215663909912
v0,26,4484,128,327,9.094641208648682
v0,27,17508,512,903,31.71914267539978
v0,28,27624,1024,1349,48.41213321685791
v0,29,22016,512,1173,41.59496331214905
v0,30,13220,512,747,28.96142053604126
v0,31,33796,2048,1477,52.49061560630798
v0,32,8560,256,530,18.933098793029785
v0,33,32992,1024,1524,63.60143685340881
v0,34,11448,512,622,25.81006455421448
v0,35,12524,512,708,29.101163625717163
v0,36,26312,1024,1257,49.243141174316406
v0,37,3844,128,301,13.894058227539062
v0,38,16740,512,911,40.64494848251343
v0,39,16236,512,875,39.040374755859375
v0,40,7188,256,463,21.408970832824707
v0,41,7832,256,480,22.663418292999268
v0,162,15896,512,852,9.191566944122314
v0,163,18352,1024,890,11.008047580718994
v0,164,37464,2048,1647,22.88910269737244
v0,165,22080,1024,1043,15.091089725494385
v0,166,29956,2048,1370,21.50192785263061
v0,167,24396,1024,1208,25.586785078048703
v0,168,30660,1024,1541,35.019304275512695
v0,169,7476,256,475,10.385926723480225
v0,170,19280,1024,951,21.019259691238403
v0,171,11432,512,627,12.789974451065063
v0,172,36908,2048,1638,33.84672427177429
v0,173,16416,512,896,17.775251865386963
v0,174,15988,512,865,17.41163992881775
v0,175,4292,128,315,5.863346576690674
v0,176,16676,512,878,18.02062225341797
v0,177,3588,128,277,5.176785707473755
v0,178,36116,1024,1690,34.8290638923645
v0,179,30828,2048,1406,29.161729335784912
