empty,corner_max,smoothness,avg_score
20,8,-0.5,2807.20
20,8,-1.0,2792.80
20,8,-1.5,2610.80
20,12,-0.5,2660.40
20,12,-1.0,2692.00
20,12,-1.5,2591.60
20,16,-0.5,2821.60
20,16,-1.0,2785.20
20,16,-1.5,2792.00
30,8,-0.5,2716.00
30,8,-1.0,2839.60
30,8,-1.5,2833.20
30,12,-0.5,2867.60
30,12,-1.0,2668.40
30,12,-1.5,2891.20
30,16,-0.5,2760.00
30,16,-1.0,2680.00
30,16,-1.5,2781.20
40,8,-0.5,2726.80
40,8,-1.0,2829.20
40,8,-1.5,2734.80
40,12,-0.5,2854.80
40,12,-1.0,2814.00
40,12,-1.5,2738.00
40,16,-0.5,2779.20
40,16,-1.0,2852.80
40,16,-1.5,2890.00
