empty,monotonicity,smoothness,corner_max,avg_score
20,-0.8,-1.0,8,2506.80
20,-0.8,-1.0,12,2530.00
20,-0.8,-1.0,16,2706.00
20,-0.8,-1.5,8,2928.40
20,-0.8,-1.5,12,2757.20
20,-0.8,-1.5,16,2762.00
20,-0.8,-2.0,8,2832.40
20,-0.8,-2.0,12,2809.60
20,-0.8,-2.0,16,2718.40
20,-1.2,-1.0,8,2782.40
20,-1.2,-1.0,12,2794.80
20,-1.2,-1.0,16,2600.80
20,-1.2,-1.5,8,2809.20
20,-1.2,-1.5,12,2775.60
20,-1.2,-1.5,16,2770.00
20,-1.2,-2.0,8,2726.80
20,-1.2,-2.0,12,2735.20
20,-1.2,-2.0,16,2726.80
20,-1.8,-1.0,8,2828.00
20,-1.8,-1.0,12,2778.40
20,-1.8,-1.0,16,2725.20
20,-1.8,-1.5,8,2774.00
20,-1.8,-1.5,12,2772.00
20,-1.8,-1.5,16,2524.80
20,-1.8,-2.0,8,2642.40
20,-1.8,-2.0,12,2742.80
20,-1.8,-2.0,16,2743.60
35,-0.8,-1.0,8,2829.20
35,-0.8,-1.0,12,2737.60
35,-0.8,-1.0,16,2768.00
35,-0.8,-1.5,8,2803.60
35,-0.8,-1.5,12,2720.00
35,-0.8,-1.5,16,2750.40
35,-0.8,-2.0,8,2731.20
35,-0.8,-2.0,12,2850.80
35,-0.8,-2.0,16,2776.00
35,-1.2,-1.0,8,2791.60
35,-1.2,-1.0,12,2845.60
35,-1.2,-1.0,16,2724.80
35,-1.2,-1.5,8,2815.20
35,-1.2,-1.5,12,2614.80
35,-1.2,-1.5,16,2648.40
35,-1.2,-2.0,8,2807.20
35,-1.2,-2.0,12,2823.20
35,-1.2,-2.0,16,2766.80
35,-1.8,-1.0,8,2948.00
35,-1.8,-1.0,12,2899.60
35,-1.8,-1.0,16,2798.80
35,-1.8,-1.5,8,2777.60
35,-1.8,-1.5,12,2655.20
35,-1.8,-1.5,16,2712.00
35,-1.8,-2.0,8,2715.20
35,-1.8,-2.0,12,2719.60
35,-1.8,-2.0,16,2694.00
50,-0.8,-1.0,8,2746.40
50,-0.8,-1.0,12,2840.00
50,-0.8,-1.0,16,2877.60
50,-0.8,-1.5,8,2887.60
50,-0.8,-1.5,12,2790.40
50,-0.8,-1.5,16,2857.20
50,-0.8,-2.0,8,2823.60
50,-0.8,-2.0,12,2784.80
50,-0.8,-2.0,16,2828.40
50,-1.2,-1.0,8,2804.00
50,-1.2,-1.0,12,2840.40
50,-1.2,-1.0,16,2824.80
50,-1.2,-1.5,8,2884.40
50,-1.2,-1.5,12,2792.80
50,-1.2,-1.5,16,2796.40
50,-1.2,-2.0,8,2844.00
50,-1.2,-2.0,12,2841.20
50,-1.2,-2.0,16,2672.40
50,-1.8,-1.0,8,2829.20
50,-1.8,-1.0,12,2713.20
50,-1.8,-1.0,16,2780.40
50,-1.8,-1.5,8,2812.40
50,-1.8,-1.5,12,2822.80
50,-1.8,-1.5,16,2838.40
50,-1.8,-2.0,8,2840.40
50,-1.8,-2.0,12,2744.00
50,-1.8,-2.0,16,2792.80
